danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,unique_track
0.624,0.911,7,-7.482,1,0.0524,0.329,0.861,0.0727,0.135,122.902,audio_features,3H3cOQ6LBLSvmcaV7QkZEu,spotify:track:3H3cOQ6LBLSvmcaV7QkZEu,https://api.spotify.com/v1/tracks/3H3cOQ6LBLSvmcaV7QkZEu,https://api.spotify.com/v1/audio-analysis/3H3cOQ6LBLSvmcaV7QkZEu,212547,4,Daft Punk - Aerodynamic
0.591,0.789,6,-12.041,0,0.0707,0.0123,0.826,0.403,0.396,127.028,audio_features,0rFTPTXuVFIOYGnqXbWm3X,spotify:track:0rFTPTXuVFIOYGnqXbWm3X,https://api.spotify.com/v1/tracks/0rFTPTXuVFIOYGnqXbWm3X,https://api.spotify.com/v1/audio-analysis/0rFTPTXuVFIOYGnqXbWm3X,211760,4,"Daft Punk - Aerodynamic Beats / Gabrielle , Forget About The World"
0.723,0.716,3,-6.407,0,0.0437,5.42e-05,0.905,0.072,0.0748,128.701,audio_features,1PH5Es89c1cENU8WVuWwbp,spotify:track:1PH5Es89c1cENU8WVuWwbp,https://api.spotify.com/v1/tracks/1PH5Es89c1cENU8WVuWwbp,https://api.spotify.com/v1/audio-analysis/1PH5Es89c1cENU8WVuWwbp,316253,4,Daft Punk - Alive
0.168,0.411,3,-13.573,1,0.037,0.0181,0.972,0.0702,0.101,99.991,audio_features,4csD9dmdLHnarNyu1wG8Iv,spotify:track:4csD9dmdLHnarNyu1wG8Iv,https://api.spotify.com/v1/tracks/4csD9dmdLHnarNyu1wG8Iv,https://api.spotify.com/v1/audio-analysis/4csD9dmdLHnarNyu1wG8Iv,93236,4,Daft Punk - Arena
0.393,0.0554,5,-23.97,0,0.038,0.677,0.927,0.116,0.0327,96.013,audio_features,6NbukMzsdx888nymIiWKlV,spotify:track:6NbukMzsdx888nymIiWKlV,https://api.spotify.com/v1/tracks/6NbukMzsdx888nymIiWKlV,https://api.spotify.com/v1/audio-analysis/6NbukMzsdx888nymIiWKlV,122975,4,Daft Punk - Armory
0.956,0.795,7,-5.311,1,0.15,0.00356,0.889,0.0906,0.841,121.294,audio_features,1pKYYY0dkg23sQQXi0Q5zN,spotify:track:1pKYYY0dkg23sQQXi0Q5zN,https://api.spotify.com/v1/tracks/1pKYYY0dkg23sQQXi0Q5zN,https://api.spotify.com/v1/audio-analysis/1pKYYY0dkg23sQQXi0Q5zN,429533,4,Daft Punk - Around The World
0.629,0.787,5,-8.399,0,0.0646,0.00152,0.359,0.209,0.581,125.998,audio_features,5RByQFt9Mlo8hDYJ921tCv,spotify:track:5RByQFt9Mlo8hDYJ921tCv,https://api.spotify.com/v1/tracks/5RByQFt9Mlo8hDYJ921tCv,https://api.spotify.com/v1/audio-analysis/5RByQFt9Mlo8hDYJ921tCv,342627,4,Daft Punk - Around The World / Harder Better Faster Stronger
0.0849,0.104,8,-22.836,0,0.0441,0.907,0.721,0.116,0.0658,84.002,audio_features,4Fm7MMYiSRriB4eTvulVKQ,spotify:track:4Fm7MMYiSRriB4eTvulVKQ,https://api.spotify.com/v1/tracks/4Fm7MMYiSRriB4eTvulVKQ,https://api.spotify.com/v1/audio-analysis/4Fm7MMYiSRriB4eTvulVKQ,120490,5,Daft Punk - Arrival
0.602,0.793,10,-10.462,0,0.0946,0.000207,0.0476,0.686,0.35,127.016,audio_features,3Ons6C3wXBMi8nYpLBMlVe,spotify:track:3Ons6C3wXBMi8nYpLBMlVe,https://api.spotify.com/v1/tracks/3Ons6C3wXBMi8nYpLBMlVe,https://api.spotify.com/v1/audio-analysis/3Ons6C3wXBMi8nYpLBMlVe,431507,4,Daft Punk - Burnin'
0.602,0.793,10,-10.462,0,0.0946,0.000207,0.0476,0.686,0.35,127.016,audio_features,3Ons6C3wXBMi8nYpLBMlVe,spotify:track:3Ons6C3wXBMi8nYpLBMlVe,https://api.spotify.com/v1/tracks/3Ons6C3wXBMi8nYpLBMlVe,https://api.spotify.com/v1/audio-analysis/3Ons6C3wXBMi8nYpLBMlVe,431507,4,Daft Punk - Burnin' / Too Long
